tweets,Twitter id,URLs,hashtags,date,source,likes,retweets,Location
"IndiGo Posts Rs. 1,066 Crore Loss In September Quarter As Costs Surge https://t.co/4Os33scHtM",1187332532175396865,"[{'url': 'https://t.co/4Os33scHtM', 'expanded_url': 'https://www.ndtv.com/business/indigo-posts-rs-1-066-crore-loss-in-september-quarter-as-costs-surge-indigo-earnings-2122130', 'display_url': 'ndtv.com/business/indig…', 'indices': [70, 93]}]",[],2019-10-24 11:38:29,Twitter Web App,61,16,
"Government May Cut Personal Income Tax, Slabs May Change: Report
https://t.co/S5t4zfVnNY",1187324055105331200,"[{'url': 'https://t.co/S5t4zfVnNY', 'expanded_url': 'https://www.ndtv.com/business/government-may-cut-personal-income-tax-slabs-may-change-report-2122107', 'display_url': 'ndtv.com/business/gover…', 'indices': [65, 88]}]",[],2019-10-24 11:04:48,Twitter Web App,36,6,
"Maruti Suzuki Profit Drops 39% In September Quarter Amid Falling Sales
https://t.co/fihC7CttvO",1187318537330671617,"[{'url': 'https://t.co/fihC7CttvO', 'expanded_url': 'https://www.ndtv.com/business/maruti-suzuki-profit-drops-39-in-september-quarter-amid-falling-sales-2122089', 'display_url': 'ndtv.com/business/marut…', 'indices': [71, 94]}]",[],2019-10-24 10:42:53,Twitter Web App,36,11,
"US Market Regulator Investigates Infosys On Whistleblower Complaints
https://t.co/UJOnJVSDdC",1187219656592936961,"[{'url': 'https://t.co/UJOnJVSDdC', 'expanded_url': 'https://www.ndtv.com/business/us-market-regulator-investigates-infosys-on-whistleblower-complaints-2121782', 'display_url': 'ndtv.com/business/us-ma…', 'indices': [69, 92]}]",[],2019-10-24 04:09:58,Twitter Web App,10,4,
"Nifty Futures Indicate Positive Start For Indian Markets: Live Updates
https://t.co/0voq2oTwHO",1187211429880840193,"[{'url': 'https://t.co/0voq2oTwHO', 'expanded_url': 'https://www.ndtv.com/business/live-market-blog-sensex-nifty-set-to-open-higher-maharashtra-haryana-election-results-earnings-key-t-2121761', 'display_url': 'ndtv.com/business/live-…', 'indices': [71, 94]}]",[],2019-10-24 03:37:16,Twitter Web App,19,3,
"World Bank Rates China, India As 'Most Improved' For Doing Business
https://t.co/DzscGpQMAJ",1187201606900576256,"[{'url': 'https://t.co/DzscGpQMAJ', 'expanded_url': 'https://www.ndtv.com/business/world-bank-rates-china-india-as-most-improved-for-doing-business-2121754', 'display_url': 'ndtv.com/business/world…', 'indices': [68, 91]}]",[],2019-10-24 02:58:14,Twitter Web App,76,17,
"Cabinet Approves Opening Of Fuel Retailing To Non-Oil Companies
https://t.co/9gEcQXJEen",1186976184401182720,"[{'url': 'https://t.co/9gEcQXJEen', 'expanded_url': 'https://www.ndtv.com/business/cabinet-approves-opening-of-fuel-retailing-to-non-oil-companies-2121521', 'display_url': 'ndtv.com/business/cabin…', 'indices': [64, 87]}]",[],2019-10-23 12:02:29,Twitter Web App,36,10,
"Government neither closing nor divesting stake in MTNL, BSNL: Ravi Shankar Prasad",1186960192186896384,[],[],2019-10-23 10:58:57,Twitter Web App,5,1,
"Cabinet approves merger of MTNL and BSNL, says Union Minister Ravi Shankar Prasad",1186959444640321536,[],[],2019-10-23 10:55:58,Twitter Web App,9,3,
"Government will make voluntary retirement scheme more attractive for BSNL, MTNL employees, says Union Minister Ravi Shankar Prasad",1186958748415229952,[],[],2019-10-23 10:53:12,Twitter Web App,14,0,
